trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
53,False,"{'a': 0.5, 'e': 0.5886049696783552}",20,8,-86.55567382661269,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 2}",1
54,False,"{'a': 0.5, 'e': 0.5827482523739896}",20,0,-19.67378046225852,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.5769498103804866}",20,0,-88.20457429853852,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.5712090638488149}",20,9,-27.59988803720632,"{0: 6, 1: 2, 2: 3, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.5655254386995371}",25,4,8.360620165469644,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.559898366565402}",20,0,4.944890476564634,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.5543272847345071}",25,0,-99.87942410382065,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
60,False,"{'a': 0.5, 'e': 0.5488116360940265}",20,0,-56.510546176615215,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.5433508690744998}",20,0,-95.83631429695791,"{0: 14, 1: 0, 2: 2, 3: 3, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.5379444375946745}",20,0,-177.3139099094732,"{0: 12, 1: 0, 2: 3, 3: 2, 4: 3}",0
63,False,"{'a': 0.5, 'e': 0.5325918010068972}",25,9,-75.5821468790656,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 2}",1
64,False,"{'a': 0.5, 'e': 0.5272924240430485}",30,22,7.931226418321061,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.522045776761016}",20,12,3.4718723978502912,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.5168513344916992}",20,9,-35.25177337252417,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
67,False,"{'a': 0.5, 'e': 0.5117085777865424}",30,0,-14.32765605717887,"{0: 25, 1: 3, 2: 1, 3: 1, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.5066169923655895}",25,0,-53.48913397616712,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.5015760690660555}",20,0,-84.98325132997707,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
70,False,"{'a': 0.5, 'e': 0.49658530379140947}",20,9,1.953349458796468,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.4916441974609651}",20,0,-95.33681384982218,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
72,False,"{'a': 0.5, 'e': 0.4867522559599717}",20,13,-25.77715469655406,"{0: 4, 1: 1, 2: 1, 3: 1, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.48190899009020244}",30,12,-81.73994982177182,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 2}",1
74,False,"{'a': 0.5, 'e': 0.4771139155210344}",30,21,14.538881332973226,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.4723665527410147}",25,4,-71.1692517958539,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 1}",1
76,False,"{'a': 0.5, 'e': 0.46766642700990924}",30,0,-25.92850885750432,"{0: 24, 1: 2, 2: 3, 3: 1, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.46301306831122807}",20,0,-37.89007659425214,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",1
78,False,"{'a': 0.5, 'e': 0.4584060113052235}",25,15,-33.54397386106413,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
79,False,"{'a': 0.5, 'e': 0.45384479528235583}",30,10,-57.73019907598065,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",1
80,False,"{'a': 0.5, 'e': 0.44932896411722156}",20,0,-36.28212451929638,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.4448580662229411}",25,1,-75.58108830768205,"{0: 18, 1: 0, 2: 2, 3: 4, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.44043165450599925}",20,11,4.1516882227782235,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.43604928632153556}",25,9,-74.56567885658043,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 1}",1
84,False,"{'a': 0.5, 'e': 0.43171052342907973}",25,11,-12.620980566601588,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.4274149319487267}",20,16,7.492166232220358,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.4231620823177488}",30,19,14.65466609519745,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.418951549247639}",30,13,-4.736768235963051,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.4147829116815814}",30,14,21.48108510216214,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.4106557527523455}",25,15,18.324841461838666,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.4065696597405991}",30,0,9.459934197148414,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.40252422403363597}",20,7,-10.322387500166647,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.39851904108451414}",25,15,-14.431763677692519,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.3945537103716011}",25,12,-20.441921723835932,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.3906278353585211}",30,18,12.70794552166152,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.3867410234545012}",20,8,5.56698997037735,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.38289288597511206}",20,0,1.5782845283442137,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.37908303810339883}",25,14,-3.4005025673063907,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.37531109885139957}",35,9,-87.07236607779322,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 2}",1
99,False,"{'a': 0.5, 'e': 0.3715766910220457}",25,0,-27.571221034183182,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
100,False,"{'a': 0.5, 'e': 0.36787944117144233}",35,23,-22.306071480917062,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
101,False,"{'a': 0.5, 'e': 0.3642189795715233}",20,12,3.344218778264743,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.3605949401730783}",20,9,4.373095283729722,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.3570069605691474}",20,0,6.498244672858153,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
104,False,"{'a': 0.5, 'e': 0.35345468195878016}",30,15,14.92683793646566,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.3499377491111553}",30,21,-36.277100090458894,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
106,False,"{'a': 0.5, 'e': 0.3464558103300574}",25,7,-33.07052030160279,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
107,False,"{'a': 0.5, 'e': 0.34300851741870664}",25,0,-56.064199093358894,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
108,False,"{'a': 0.5, 'e': 0.3395955256449391}",20,3,0.24861858258521097,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.33621649370673334}",20,1,-3.2475405761411933,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.33287108369807955}",25,16,-12.661293298920578,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.32955896107518906}",20,6,-8.10092913848824,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.32627979462303947}",20,12,13.823331836258443,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.3230332564222529}",25,0,-16.875796210482772,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
114,False,"{'a': 0.5, 'e': 0.31981902181630384}",20,6,-19.052299999901262,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
115,False,"{'a': 0.5, 'e': 0.31663676937905316}",25,14,-22.07557412639907,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
116,False,"{'a': 0.5, 'e': 0.3134861808826053}",35,18,1.6154744838521389,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.31036694126548503}",25,0,-59.01500119481607,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
118,False,"{'a': 0.5, 'e': 0.30727873860113125}",20,13,13.546696924941303,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.3042212640667041}",30,13,-79.84490598809576,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 2}",1
120,False,"{'a': 0.5, 'e': 0.30119421191220214}",25,17,14.231827550448628,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.2981972794298874}",35,21,1.5612278153234085,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.2952301669240142}",30,14,-39.55335902338659,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 1}",1
123,False,"{'a': 0.5, 'e': 0.2922925776808594}",30,16,0.02551309731007989,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.2893842179390506}",20,4,-4.037402154703533,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.2865047968601901}",35,21,17.004292352409387,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.2836540264997704}",25,11,12.773906619351047,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.2808316217783798}",20,14,13.762255335854583,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.27803730045319414}",25,14,0.2703207635585445,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.27527078308975234}",30,20,5.936166165467094,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.2725317930340126}",25,12,0.9199276212401808,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.2698200563846868}",25,13,-0.4489826712676128,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.26713530196585034}",30,21,-9.261864752285064,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.26447726129982396}",20,8,21.666016497344508,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.261845668580326}",20,13,10.142930017934994,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.2592402606458915}",20,0,-13.059955661666416,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
136,False,"{'a': 0.5, 'e': 0.2566607769535559}",25,12,25.725673631998983,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.25410695955280027}",25,1,11.666234275770723,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.25157855305975646}",25,0,-3.5233185037815993,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
139,False,"{'a': 0.5, 'e': 0.24907530463166816}",25,14,12.070569070295154,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.24659696394160643}",20,6,-16.6200167034173,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
141,False,"{'a': 0.5, 'e': 0.2441432831534371}",25,18,-28.799545656796404,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
142,False,"{'a': 0.5, 'e': 0.24171401689703645}",20,14,3.1786777734251985,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.23930892224375455}",25,8,9.620387862538749,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.23692775868212176}",20,9,-32.71128240215197,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.23457028809379765}",30,18,-9.32389024651739,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.23223627472975883}",20,9,21.295421866116598,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.22992548518672384}",25,14,-32.94638887032643,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
148,False,"{'a': 0.5, 'e': 0.22763768838381274}",20,10,18.616917456203307,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.22537265553943872}",20,1,23.570467326553466,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.22313016014842982}",25,11,25.914867338210236,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.2209099779593782}",20,12,6.004757007720412,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.21871188695221475}",20,11,16.86138391465099,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.21653566731600707}",20,9,20.935718420532083,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.21438110142697794}",20,8,20.429435757695323,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.21224797382674304}",25,16,13.438298849928671,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.21013607120076472}",25,11,-9.156816396756282,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.20804518235702046}",20,3,30.011265504021406,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.20597509820488344}",25,17,-1.2167836178176208,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.20392561173421342}",30,19,9.309111512428464,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.20189651799465538}",25,0,4.839994639557214,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
161,False,"{'a': 0.5, 'e': 0.1998876140751445}",20,5,-70.14392336381128,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 2}",1
162,False,"{'a': 0.5, 'e': 0.19789869908361465}",25,17,0.7517065396848379,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.19592957412690934}",30,19,20.853297855095008,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.19398004229089189}",20,8,19.83866108752851,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.19204990862075408}",20,16,7.36917013890526,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.1901389801015205}",35,21,11.836898984696097,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.1882470656387468}",35,18,-4.41833658324877,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.18637397603940997}",20,0,0.9358043120209636,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
169,False,"{'a': 0.5, 'e': 0.18451952399298926}",30,12,20.304275992670675,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.18268352405273466}",25,0,34.10437920152968,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
171,False,"{'a': 0.5, 'e': 0.1808657926171221}",25,15,20.64356042661717,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.17906614791149322}",25,14,5.376056955865609,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.17728440996987782}",25,8,-30.23127429848279,"{0: 14, 1: 0, 2: 1, 3: 2, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.17552040061699686}",25,14,17.44137799257807,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.17377394345044514}",35,15,18.519072950473575,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.17204486382305054}",20,10,-3.164593807856213,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.17033298882540943}",30,0,-18.24542523281346,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 1}",0
178,False,"{'a': 0.5, 'e': 0.1686381472685955}",20,0,-60.973043557760825,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
179,False,"{'a': 0.5, 'e': 0.1669601696670407}",25,15,19.17625051755397,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
